,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Kevin Durant\duranke01,29,4,4,165,40,76,9,22,26,27,2,41,43,30,3,9,9,12,115,.526,.409,.963,41.3,28.8,10.8,7.5,0.8,2.3
2,Stephen Curry\curryst01,29,4,4,162,37,92,22,53,14,14,3,21,24,27,6,3,11,11,110,.402,.415,1.000,40.6,27.5,6.0,6.8,1.5,0.8
3,Klay Thompson\thompkl01,27,4,4,148,24,50,12,28,4,5,0,15,15,4,2,1,5,12,64,.480,.429,.800,37.0,16.0,3.8,1.0,0.5,0.3
4,Draymond Green\greendr01,27,4,4,165,15,29,3,14,4,5,4,20,24,34,8,6,5,18,37,.517,.214,.800,41.4,9.3,6.0,8.5,2.0,1.5
5,JaVale McGee\mcgeeja01,30,4,3,55,16,20,0,0,0,1,4,5,9,0,0,5,1,6,32,.800,,.000,13.8,8.0,2.3,0.0,0.0,1.3
6,Shaun Livingston\livinsh01,32,4,0,65,13,15,0,0,4,4,1,10,11,6,1,0,1,7,30,.867,,1.000,16.2,7.5,2.8,1.5,0.3,0.0
7,Jordan Bell\belljo01,23,4,0,54,10,14,0,1,3,6,4,9,13,4,1,2,0,4,23,.714,.000,.500,13.5,5.8,3.3,1.0,0.3,0.5
8,Andre Iguodala\iguodan01,34,2,0,45,7,12,3,6,2,2,1,3,4,1,3,2,1,6,19,.583,.500,1.000,22.3,9.5,2.0,0.5,1.5,1.0
9,Kevon Looney\looneke01,21,4,1,39,5,7,0,0,0,4,4,2,6,1,1,0,0,4,10,.714,,.000,9.7,2.5,1.5,0.3,0.3,0.0
10,Zaza Pachulia\pachuza01,33,2,0,6,1,3,0,0,6,6,1,2,3,0,0,1,1,0,8,.333,,1.000,3.1,4.0,1.5,0.0,0.0,0.5
11,David West\westda01,37,4,0,28,3,5,1,1,0,0,2,3,5,4,0,3,3,4,7,.600,1.000,,7.0,1.8,1.3,1.0,0.0,0.8
12,Nick Young\youngni01,32,4,0,38,2,13,1,10,0,0,0,2,2,0,0,0,0,3,5,.154,.100,,9.5,1.3,0.5,0.0,0.0,0.0
13,Quinn Cook\cookqu01,24,2,0,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,.333,.000,,1.8,1.0,0.0,0.0,0.0,0.0
14,Patrick McCaw\mccawpa01,22,4,0,11,0,0,0,0,2,2,1,0,1,0,1,0,0,0,2,,,1.000,2.7,0.5,0.3,0.0,0.3,0.0
1,LeBron James\jamesle01,33,4,4,179,49,93,6,18,32,38,9,25,34,40,5,4,20,11,136,.527,.333,.842,44.7,34.0,8.5,10.0,1.3,1.0
2,Kevin Love\loveke01,29,4,4,133,26,64,9,28,15,16,14,31,45,7,4,1,5,6,76,.406,.321,.938,33.2,19.0,11.3,1.8,1.0,0.3
3,J.R. Smith\smithjr01,32,4,4,130,13,41,9,25,3,5,4,9,13,5,5,0,3,8,38,.317,.360,.600,32.5,9.5,3.3,1.3,1.3,0.0
4,George Hill\hillge01,31,4,4,117,10,31,7,16,3,6,5,4,9,9,3,1,6,16,30,.323,.438,.500,29.2,7.5,2.3,2.3,0.8,0.3
5,Rodney Hood\hoodro01,25,4,0,56,12,27,1,5,2,3,5,10,15,3,2,2,2,4,27,.444,.200,.667,14.1,6.8,3.8,0.8,0.5,0.5
6,Tristan Thompson\thomptr01,26,4,4,94,13,25,0,0,1,3,8,13,21,0,0,3,1,7,27,.520,,.333,23.4,6.8,5.3,0.0,0.0,0.8
7,Larry Nance\nancela02,25,4,0,68,9,18,0,0,5,12,15,13,28,6,2,2,2,7,23,.500,,.417,17.1,5.8,7.0,1.5,0.5,0.5
8,Jeff Green\greenje02,31,4,0,97,8,28,3,14,2,2,2,3,5,8,1,1,2,3,21,.286,.214,1.000,24.4,5.3,1.3,2.0,0.3,0.3
9,Jordan Clarkson\clarkjo01,25,2,0,25,3,13,0,3,0,0,1,3,4,1,2,1,2,2,6,.231,.000,,12.6,3.0,2.0,0.5,1.0,0.5
10,Kyle Korver\korveky01,36,4,0,65,1,16,1,11,3,5,2,5,7,3,0,1,2,7,6,.063,.091,.600,16.2,1.5,1.8,0.8,0.0,0.3
11,Ante Zizic\zizican01,21,3,0,5,3,3,0,0,0,0,1,0,1,0,0,0,0,2,6,1.000,,,1.7,2.0,0.3,0.0,0.0,0.0
12,Jose Calderon\caldejo01,36,3,0,8,2,4,0,1,0,0,1,2,3,2,1,0,0,0,4,.500,.000,,2.5,1.3,1.0,0.7,0.3,0.0
13,Cedi Osman\osmande01,22,3,0,8,2,5,0,1,0,0,0,1,1,0,0,0,0,0,4,.400,.000,,2.8,1.3,0.3,0.0,0.0,0.0
