,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Kobe Bryant\bryanko01,30,5,5,219,58,135,9,25,37,44,3,25,28,37,7,7,16,13,162,.430,.360,.841,43.8,32.4,5.6,7.4,1.4,1.4
2,Pau Gasol\gasolpa01,28,5,5,212,36,60,0,0,21,27,10,36,46,11,4,9,5,15,93,.600,,.778,42.5,18.6,9.2,2.2,0.8,1.8
3,Lamar Odom\odomla01,29,5,0,169,26,48,4,8,11,16,10,29,39,4,5,5,9,21,67,.542,.500,.688,33.8,13.4,7.8,0.8,1.0,1.0
4,Trevor Ariza\arizatr01,23,5,5,188,20,56,10,24,5,10,9,21,30,8,9,1,5,16,55,.357,.417,.500,37.6,11.0,6.0,1.6,1.8,0.2
5,Derek Fisher\fishede01,34,5,5,179,21,42,7,16,6,6,3,12,15,9,6,0,3,16,55,.500,.438,1.000,35.9,11.0,3.0,1.8,1.2,0.0
6,Andrew Bynum\bynuman01,21,5,5,95,12,33,0,0,6,9,10,11,21,3,2,3,3,21,30,.364,,.667,18.9,6.0,4.2,0.6,0.4,0.6
7,Luke Walton\waltolu01,28,5,0,76,8,10,0,1,3,6,3,7,10,5,1,0,2,9,19,.800,.000,.500,15.2,3.8,2.0,1.0,0.2,0.0
8,Jordan Farmar\farmajo01,22,5,0,57,7,19,1,8,2,2,2,4,6,2,2,0,3,4,17,.368,.125,1.000,11.5,3.4,1.2,0.4,0.4,0.0
9,Josh Powell\poweljo01,26,2,0,11,2,4,1,1,0,0,2,2,4,1,0,0,2,2,5,.500,1.000,,5.5,2.5,2.0,0.5,0.0,0.0
10,Shannon Brown\brownsh01,23,3,0,16,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,.000,,,5.2,0.0,0.3,0.0,0.0,0.0
11,Didier Ilunga-Mbenga\mbengdj01,28,3,0,6,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,.000,,,2.0,0.0,0.3,0.0,0.0,0.3
12,Sasha Vujacic\vujacsa01,24,5,0,22,0,6,0,3,0,0,0,2,2,2,0,0,1,3,0,.000,.000,,4.4,0.0,0.4,0.4,0.0,0.0
1,Hedo Turkoglu\turkohe01,29,5,5,206,30,61,7,16,23,31,1,22,23,19,4,2,13,19,90,.492,.438,.742,41.1,18.0,4.6,3.8,0.8,0.4
2,Rashard Lewis\lewisra02,29,5,5,212,30,74,16,40,11,13,9,29,38,20,4,0,10,15,87,.405,.400,.846,42.5,17.4,7.6,4.0,0.8,0.0
3,Dwight Howard\howardw01,23,5,5,213,21,43,0,0,35,58,18,58,76,11,8,20,20,20,77,.488,,.603,42.6,15.4,15.2,2.2,1.6,4.0
4,Rafer Alston\alstora01,32,5,5,147,21,57,3,19,8,10,1,10,11,15,4,0,8,10,53,.368,.158,.800,29.5,10.6,2.2,3.0,0.8,0.0
5,Mickael Pietrus\pietrmi01,26,5,0,140,19,40,4,12,11,14,2,8,10,2,3,1,3,16,53,.475,.333,.786,28.0,10.6,2.0,0.4,0.6,0.2
6,Courtney Lee\leeco01,23,5,5,88,12,32,2,11,3,4,2,5,7,1,3,0,3,13,29,.375,.182,.750,17.6,5.8,1.4,0.2,0.6,0.0
7,J.J. Redick\redicjj01,24,4,0,65,8,20,5,11,1,1,1,1,2,8,1,0,2,4,22,.400,.455,1.000,16.3,5.5,0.5,2.0,0.3,0.0
8,Jameer Nelson\nelsoja01,26,5,0,90,8,23,1,6,2,4,1,6,7,14,1,0,7,3,19,.348,.167,.500,18.0,3.8,1.4,2.8,0.2,0.0
9,Marcin Gortat\gortama01,24,5,0,53,7,15,0,0,2,4,2,11,13,0,2,5,3,5,16,.467,,.500,10.7,3.2,2.6,0.0,0.4,1.0
10,Tony Battie\battito01,32,5,0,35,5,11,0,0,0,0,1,3,4,2,0,2,1,5,10,.455,,,7.0,2.0,0.8,0.4,0.0,0.4
