,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,LeBron James\jamesle01,28,7,7,301,67,150,12,34,31,39,17,59,76,49,16,6,18,10,177,.447,.353,.795,43.0,25.3,10.9,7.0,2.3,0.9
2,Dwyane Wade\wadedw01,31,7,7,255,60,126,0,0,17,22,9,19,28,32,13,9,16,10,137,.476,,.773,36.4,19.6,4.0,4.6,1.9,1.3
3,Chris Bosh\boshch01,28,7,7,240,36,78,0,6,11,15,20,42,62,15,13,11,7,19,83,.462,.000,.733,34.3,11.9,8.9,2.1,1.9,1.6
4,Ray Allen\allenra02,37,7,0,193,25,46,12,22,12,13,2,14,16,11,1,0,9,18,74,.543,.545,.923,27.5,10.6,2.3,1.6,0.1,0.0
5,Mario Chalmers\chalmma01,26,7,7,221,26,67,13,32,9,13,1,18,19,15,5,0,18,18,74,.388,.406,.692,31.6,10.6,2.7,2.1,0.7,0.0
6,Shane Battier\battish01,34,7,0,87,12,27,12,27,3,3,2,9,11,6,1,2,0,10,39,.444,.444,1.000,12.4,5.6,1.6,0.9,0.1,0.3
7,Mike Miller\millemi01,32,7,4,152,13,22,11,18,0,0,2,17,19,6,4,2,2,17,37,.591,.611,,21.8,5.3,2.7,0.9,0.6,0.3
8,Chris Andersen\anderch01,34,5,0,71,8,11,0,0,6,10,6,9,15,0,4,3,4,16,22,.727,,.600,14.2,4.4,3.0,0.0,0.8,0.6
9,Norris Cole\coleno01,24,5,0,82,6,22,2,6,1,2,1,4,5,12,4,1,5,9,15,.273,.333,.500,16.3,3.0,1.0,2.4,0.8,0.2
10,Udonis Haslem\hasleud01,32,6,3,64,4,9,0,0,1,1,4,13,17,0,0,1,1,15,9,.444,,1.000,10.6,1.5,2.8,0.0,0.0,0.2
11,James Jones\jonesja02,32,3,0,12,2,5,2,3,0,0,0,1,1,0,0,1,1,2,6,.400,.667,,3.9,2.0,0.3,0.0,0.0,0.3
12,Rashard Lewis\lewisra02,33,3,0,12,2,6,0,0,0,0,1,1,2,2,0,0,2,0,4,.333,,,3.9,1.3,0.7,0.7,0.0,0.0
13,Joel Anthony\anthojo01,30,4,0,15,1,2,0,0,0,0,4,3,7,0,0,0,0,1,2,.500,,,3.7,0.5,1.8,0.0,0.0,0.0
1,Tim Duncan\duncati01,36,7,7,254,50,102,0,0,32,39,26,59,85,10,6,10,16,16,132,.490,,.821,36.3,18.9,12.1,1.4,0.9,1.4
2,Tony Parker\parketo01,30,7,7,246,42,102,2,7,24,33,3,10,13,45,7,1,15,7,110,.412,.286,.727,35.2,15.7,1.9,6.4,1.0,0.1
3,Kawhi Leonard\leonaka01,21,7,7,255,41,80,8,23,12,17,21,57,78,6,14,3,7,16,102,.513,.348,.706,36.5,14.6,11.1,0.9,2.0,0.4
4,Danny Green\greenda02,25,7,7,248,32,72,27,49,7,8,6,23,29,5,7,11,8,24,98,.444,.551,.875,35.4,14.0,4.1,0.7,1.0,1.6
5,Manu Ginobili\ginobma01,35,7,3,199,26,60,7,28,22,28,1,14,15,30,5,0,22,23,81,.433,.250,.786,28.5,11.6,2.1,4.3,0.7,0.0
6,Gary Neal\nealga01,28,7,0,171,24,58,14,30,4,4,1,16,17,6,0,0,8,10,66,.414,.467,1.000,24.4,9.4,2.4,0.9,0.0,0.0
7,Tiago Splitter\splitti01,28,7,4,107,13,29,0,0,8,10,6,8,14,3,5,3,9,11,34,.448,,.800,15.4,4.9,2.0,0.4,0.7,0.4
8,Boris Diaw\diawbo01,30,6,0,94,8,16,2,4,6,8,5,10,15,10,0,1,5,8,24,.500,.500,.750,15.7,4.0,2.5,1.7,0.0,0.2
9,DeJuan Blair\blairde01,23,3,0,17,5,11,0,0,1,3,2,6,8,1,2,0,0,1,11,.455,,.333,5.8,3.7,2.7,0.3,0.7,0.0
10,Matt Bonner\bonnema01,32,6,0,36,4,10,1,4,2,2,0,7,7,1,1,0,0,2,11,.400,.250,1.000,6.1,1.8,1.2,0.2,0.2,0.0
11,Cory Joseph\josepco01,21,6,0,43,4,9,0,1,3,6,3,3,6,6,2,0,5,0,11,.444,.000,.500,7.1,1.8,1.0,1.0,0.3,0.0
12,Patty Mills\millspa02,24,2,0,13,2,5,0,3,0,0,0,1,1,0,0,0,0,0,4,.400,.000,,6.7,2.0,0.5,0.0,0.0,0.0
13,Nando De Colo\decolna01,25,2,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,2.5,0.0,0.5,0.5,0.0,0.0
14,Tracy McGrady\mcgratr01,33,2,0,14,0,3,0,1,0,0,0,4,4,5,0,1,0,0,0,.000,.000,,7.2,0.0,2.0,2.5,0.0,0.5
